raceId,season,round,raceName,date,circuitId,circuitName,country,lat,lng
1990_16,1990,16,Australian Grand Prix,1990-11-04,adelaide,Adelaide Street Circuit,Australia,-34.9272,138.617
1991_1,1991,1,United States Grand Prix,1991-03-10,phoenix,Phoenix street circuit,USA,33.4479,-112.075
1991_2,1991,2,Brazilian Grand Prix,1991-03-24,interlagos,Autódromo José Carlos Pace,Brazil,-23.7036,-46.6997
1991_3,1991,3,San Marino Grand Prix,1991-04-28,imola,Autodromo Enzo e Dino Ferrari,Italy,44.3439,11.7167
1991_4,1991,4,Monaco Grand Prix,1991-05-12,monaco,Circuit de Monaco,Monaco,43.7347,7.42056
1991_5,1991,5,Canadian Grand Prix,1991-06-02,villeneuve,Circuit Gilles Villeneuve,Canada,45.5,-73.5228
1991_6,1991,6,Mexican Grand Prix,1991-06-16,rodriguez,Autódromo Hermanos Rodríguez,Mexico,19.4042,-99.0907
1991_7,1991,7,French Grand Prix,1991-07-07,magny_cours,Circuit de Nevers Magny-Cours,France,46.8642,3.16361
1991_8,1991,8,British Grand Prix,1991-07-14,silverstone,Silverstone Circuit,UK,52.0786,-1.01694
1991_9,1991,9,German Grand Prix,1991-07-28,hockenheimring,Hockenheimring,Germany,49.3278,8.56583
1991_10,1991,10,Hungarian Grand Prix,1991-08-11,hungaroring,Hungaroring,Hungary,47.5789,19.2486
1991_11,1991,11,Belgian Grand Prix,1991-08-25,spa,Circuit de Spa-Francorchamps,Belgium,50.4372,5.97139
1991_12,1991,12,Italian Grand Prix,1991-09-08,monza,Autodromo Nazionale di Monza,Italy,45.6156,9.28111
1991_13,1991,13,Portuguese Grand Prix,1991-09-22,estoril,Autódromo do Estoril,Portugal,38.7506,-9.39417
1991_14,1991,14,Spanish Grand Prix,1991-09-29,catalunya,Circuit de Barcelona-Catalunya,Spain,41.57,2.26111
1991_15,1991,15,Japanese Grand Prix,1991-10-20,suzuka,Suzuka Circuit,Japan,34.8431,136.541
1991_16,1991,16,Australian Grand Prix,1991-11-03,adelaide,Adelaide Street Circuit,Australia,-34.9272,138.617
1992_1,1992,1,South African Grand Prix,1992-03-01,kyalami,Kyalami,South Africa,-25.9894,28.0767
1992_2,1992,2,Mexican Grand Prix,1992-03-22,rodriguez,Autódromo Hermanos Rodríguez,Mexico,19.4042,-99.0907
1992_3,1992,3,Brazilian Grand Prix,1992-04-05,interlagos,Autódromo José Carlos Pace,Brazil,-23.7036,-46.6997
1992_4,1992,4,Spanish Grand Prix,1992-05-03,catalunya,Circuit de Barcelona-Catalunya,Spain,41.57,2.26111
1992_5,1992,5,San Marino Grand Prix,1992-05-17,imola,Autodromo Enzo e Dino Ferrari,Italy,44.3439,11.7167
1992_6,1992,6,Monaco Grand Prix,1992-05-31,monaco,Circuit de Monaco,Monaco,43.7347,7.42056
1992_7,1992,7,Canadian Grand Prix,1992-06-14,villeneuve,Circuit Gilles Villeneuve,Canada,45.5,-73.5228
1992_8,1992,8,French Grand Prix,1992-07-05,magny_cours,Circuit de Nevers Magny-Cours,France,46.8642,3.16361
1992_9,1992,9,British Grand Prix,1992-07-12,silverstone,Silverstone Circuit,UK,52.0786,-1.01694
1992_10,1992,10,German Grand Prix,1992-07-26,hockenheimring,Hockenheimring,Germany,49.3278,8.56583
1992_11,1992,11,Hungarian Grand Prix,1992-08-16,hungaroring,Hungaroring,Hungary,47.5789,19.2486
1992_12,1992,12,Belgian Grand Prix,1992-08-30,spa,Circuit de Spa-Francorchamps,Belgium,50.4372,5.97139
1992_13,1992,13,Italian Grand Prix,1992-09-13,monza,Autodromo Nazionale di Monza,Italy,45.6156,9.28111
1992_14,1992,14,Portuguese Grand Prix,1992-09-27,estoril,Autódromo do Estoril,Portugal,38.7506,-9.39417
1992_15,1992,15,Japanese Grand Prix,1992-10-25,suzuka,Suzuka Circuit,Japan,34.8431,136.541
1992_16,1992,16,Australian Grand Prix,1992-11-08,adelaide,Adelaide Street Circuit,Australia,-34.9272,138.617
1993_1,1993,1,South African Grand Prix,1993-03-14,kyalami,Kyalami,South Africa,-25.9894,28.0767
1993_2,1993,2,Brazilian Grand Prix,1993-03-28,interlagos,Autódromo José Carlos Pace,Brazil,-23.7036,-46.6997
